 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
665,ER.ATL2.png,1,2.828,1.000,1.414,95,188,135.000,1.000,1.000,1.000,1.000
666,ER.ATL2.png,1,2.828,1.000,1.414,277,188,135.000,1.000,1.000,1.000,1.000
667,ER.ATL2.png,1,2.828,1.000,1.414,105,189,135.000,1.000,1.000,1.000,1.000
668,ER.ATL2.png,1,2.828,1.000,1.414,275,189,135.000,1.000,1.000,1.000,1.000
669,ER.ATL2.png,58,49.941,0.292,13.038,88,201,57.529,10.746,1.082,0.924,0.589
670,ER.ATL2.png,23,22.385,0.577,7.211,66,191,146.310,5.883,1.075,0.931,0.754
671,ER.ATL2.png,79,93.539,0.113,17.720,61,210,73.610,10.976,1.850,0.540,0.488
672,ER.ATL2.png,35,23.556,0.793,9.220,80,195,139.399,6.472,1.609,0.622,0.805
673,ER.ATL2.png,87,80.569,0.168,18.385,96,211,67.620,11.000,1.579,0.633,0.615
674,ER.ATL2.png,1,2.828,1.000,1.414,282,195,135.000,1.000,1.000,1.000,1.000
675,ER.ATL2.png,1,2.828,1.000,1.414,105,197,135.000,1.000,1.000,1.000,1.000
676,ER.ATL2.png,1,2.828,1.000,1.414,57,198,135.000,1.000,1.000,1.000,1.000
677,ER.ATL2.png,136,139.480,0.088,26.077,45,199,94.399,12.823,1.975,0.506,0.542
678,ER.ATL2.png,5,13.314,0.354,5.385,52,204,68.199,2.530,2.915,0.343,0.500
679,ER.ATL2.png,1,2.828,1.000,1.414,71,199,135.000,1.000,1.000,1.000,1.000
680,ER.ATL2.png,1,2.828,1.000,1.414,76,199,135.000,1.000,1.000,1.000,1.000
681,ER.ATL2.png,2,5.657,0.785,2.828,108,201,45.000,1.414,2.646,0.378,0.667
682,ER.ATL2.png,119,72.569,0.284,18.028,75,201,146.310,12.944,1.218,0.821,0.702
683,ER.ATL2.png,2,4.243,1.000,2.236,72,201,153.435,1.000,2.000,0.500,1.000
684,ER.ATL2.png,1,2.828,1.000,1.414,103,201,135.000,1.000,1.000,1.000,1.000
685,ER.ATL2.png,1,2.828,1.000,1.414,336,201,135.000,1.000,1.000,1.000,1.000
686,ER.ATL2.png,3,5.657,1.000,2.828,69,204,45.000,2.000,1.464,0.683,0.857
687,ER.ATL2.png,19,22.971,0.453,7.810,89,202,129.806,5.000,1.539,0.650,0.731
688,ER.ATL2.png,32,42.527,0.222,14.318,105,209,24.775,7.000,2.517,0.397,0.504
689,ER.ATL2.png,3,7.657,0.643,3.606,221,202,123.690,1.789,2.702,0.370,0.667
690,ER.ATL2.png,8,11.314,0.785,5.000,529,202,126.870,3.000,1.492,0.670,0.762
